Data Bencana,,,,,,,,,,,,,,,
No.,Kode Identitas Bencana,ID Kabupaten,Tanggal Kejadian,Kejadian,Lokasi,Kabupaten,Provinsi,Kronologi & Dokumentasi,Penyebab,Meninggal,Hilang,Terluka,Rumah Rusak,Rumah Terendam,Fasum Rusak
909,7308 107 2023 010 06 1,7308,10/6/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Palakka  Ds. Passippo,BONE,SULAWESI SELATAN,Dokumentasi,●belum diketahui,,,,0,,0
910,1108 101 2023 010 06 1,1108,10/6/2023,BANJIR,Kec. Sawang Gp. Blang Reuling Gp. Paya Rabo Gp. Blang Kubu  Kec. Samudra  Gp. Madan  Gp. Tanjung Hagu Gp. Kito Gp. Tanjong Reungkam Gp. Tanonjg Awe Gp. Teupin ara Gp. Teupin Beulangan Baro Gp.  Tanjong Baroh  Kec. Syamtalira Aron Gp. Tjg. Krueng Pase Gp. Blang Gp. Marang Meuje  Kec. Matangkuli  Gp. Leubok Pirak Gp. Pante Pirak Gp. Ceubrek Pirak Gp. Beuringen Pirak Gp. Meunye Pirak Gp. Siren Gp. Tanjong Haji Muda Gp. Lawang Pirak Gp. Alue Tho Gp. Hagu Gp. Alue Euntok Gp. Teumpok Barat Gp. Teungoh Seuleumak Gp. Meuria  Gp. Tanjong Tgk. Kari Gp. Tanjong Tgk. Ali Gp. Punti Matangkuli GP. Parang  Sikureung Gp. Blang Matangkuli  Gp. Baro  Gp. Masjid Pirak Gp. Teungoh Pirak Gp. Rayeuk Matangkuli Gp. Keude Matangkuli Gp. Tanjong Babah Krueng Gp. Tutong Gp. Mee Gp. Blang Gp. Seuriweuk Gp. Teungoh Seuleumak Gp. Masjid Pirak  Gp.   Kec. Pirak Timu  Gp. Rayeuk Pange Gp. Krueng Gp. Matang Keh Gp. Geulumpang  Gp. Leupe Gp. Asan Krueng Kreh  Gp. Alue Bungkoh Gp. Meunye Tujoh Gp. Beracan Rata Gp. Bungong Gp. Trieng Krueng Kreh Gp. Teupin u Kec. Tanah Luas Gp. Serbajaman Baroh Gp. Tanjong Mesjid Gp. Rayeuk Kuta Gp. Blang Gp. Ujong Baroh SB Gp. Rangkaya Gp. Trieng Gp. Ampeh Gp. Paya Gp. Matang Ceubrek Gp. Meunasah Ceubrek Kec. Geureudong Pase Gp. Dayah supeng Gp. Rayeuk Jawa Gp. Darussalam Gp. Alue Awe,ACEH UTARA,ACEH,Dokumentasi,"●Dipicu oleh Intensitas hujan yang lebat di Kab. Aceh Utara dan Kab. Bener Meriah pada hari Minggu tanggal 8 0ktober 2023 berkisar pukul  22:00 Wib banjir kembali melanda Aceh Utara sungai Krueng Sawang, sungai Krueng Pase,  Krueng Pirak, Krueng Keuruto dan krueng Peto kembali meluap",,,,0,4439,0
911,1404 107 2023 010 06 1,1404,10/6/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Kemuning Ds. Sekayan,INDRAGIRI HILIR,RIAU,Dokumentasi,,,,,0,,0
912,3327 105 2023 010 06 1,3327,10/6/2023,CUACA EKSTREM,"Kec. Randudongkal, Bantarbolang Desa Semaya, Sumurkidang",PEMALANG,JAWA TENGAH,Dokumentasi,Hujan deras disertai Angin Kencang sehingga menyebabkan Pohon tumbang.,,,,3,,0
913,3310 107 2023 010 06 1,3310,10/6/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Karangmalang Desa Guworejo,KLATEN,JAWA TENGAH,Dokumentasi,Masih dalam pengumpulan informasi.,,,,0,,0
914,3210 107 2023 010 06 1,3210,10/6/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Rajagaluh  Ds. Sindangpano  Kec. Sukahaji Ds. Salagedang,MAJALENGKA,JAWA BARAT,Dokumentasi,●Dalam penyelidikan,,,,0,,0
915,3314 107 2023 010 06 1,3314,10/6/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Kalijambe Ds. Bukuran,SRAGEN,JAWA TENGAH,Dokumentasi,●belum diketahui,,,,0,,0
916,1207 101 2023 010 06 1,1207,10/6/2023,BANJIR,Kec. Sunggal  Ds. Tanjung Selamat Ds. Sei Beras,DELI SERDANG,SUMATERA UTARA,Dokumentasi,"●Luapan Air Sungai Belawan setinggi 3 meter, akibat Kiriman Bandang dari Gunung, dimana Area Gunung sisi Barat mengalami Hujan Deras sejak sore hari ke malam hari.",1,,,0,,0
917,7308 107 2023 010 06 1,7308,10/6/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Patimpeng Ds. Paccing,BONE,SULAWESI SELATAN,Dokumentasi,●belum diketahui,,,,0,,0
918,1271 101 2023 010 06 1,1271,10/6/2023,BANJIR,Kec. Medan Helvetia Kel. Cinta Damai Kel. Sunggal  Kec. Medan Sunggal Kel. Sunggal Kel. Lalang,KOTA MEDAN,SUMATERA UTARA,Dokumentasi,●intensitas hujan yang tinggi dan meluapnya Sungai Belawan,,,,0,603,0
919,1301 107 2023 010 05 1,1301,10/5/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Ranah  Nagari. Simpang Gunung,PESISIR SELATAN,SUMATERA BARAT,Dokumentasi,●pembukaan lahan baru,,,,0,,0
920,3213 107 2023 010 05 1,3213,10/5/2023,KEBAKARAN HUTAN DAN LAHAN,Kecamatan Subang Desa/KelWanareja,SUBANG,JAWA BARAT,Dokumentasi,Belum Diketahui,,,,0,,0
921,1502 107 2023 010 05 1,1502,10/5/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Batang Masumai Desa Pulau Layang,MERANGIN,JAMBI,Dokumentasi,,,,,0,,0
922,7501 106 2023 010 05 1,7501,10/5/2023,KEKERINGAN,KEC. PULUBALA,GORONTALO,GORONTALO,Dokumentasi,"Pada hari Kamis tanggal 05 Oktober 2023 telah terjadi bencana alam Kekeringan di Kecamatan Pulubala tepatnya di Desa Mulyonegoro, diakibatkan oleh fenomena Elnino yang menyebabkan kekeringan di Wilayah Kabupaten Gorontalo",,,,0,,0
923,3403 107 2023 010 05 1,3403,10/5/2023,KEBAKARAN HUTAN DAN LAHAN,KEC Nglipar KEL Katongan,GUNUNGKIDUL,DAERAH ISTIMEWA YOGYAKARTA,Dokumentasi,,,,,0,,0
924,3308 107 2023 010 05 1,3308,10/5/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Candimulyo Desa Kembaran Kec. Salaman Desa Kalirejo,MAGELANG,JAWA TENGAH,Dokumentasi,Dalam identifikasi,,,1,0,,0
925,3322 107 2023 010 05 1,3322,10/5/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Pabelan Desa Kauman Lor,SEMARANG,JAWA TENGAH,Dokumentasi,,,,,0,,0
926,3312 107 2023 010 05 1,3312,10/5/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Wonogiri Desa Giriwono,WONOGIRI,JAWA TENGAH,Dokumentasi,Masih dalam pengumpulan informasi.,,,,0,,0
927,3210 107 2023 010 05 1,3210,10/5/2023,KEBAKARAN HUTAN DAN LAHAN,Kecamatan Sindang Desa/KelIndrakila,MAJALENGKA,JAWA BARAT,Dokumentasi,Belum Diketahui,,,,0,,0
928,1906 107 2023 010 05 1,1906,10/5/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Manggar  Ds. Lalang Kec. Gantung Ds. Lenggang,BELITUNG TIMUR,KEPULAUAN BANGKA BELITUNG,Dokumentasi,●belum diketahui,,,,0,,0
929,1508 107 2023 010 05 1,1508,10/5/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Pelepat Ilir Desa Padang Palangeh Kec. Rimbo Tengah Desa Sungai Buluh Kec. Pelepat Ilir Desa Padang Palangeh Kec. Bathin III Desa Sarana Jaya,BUNGO,JAMBI,Dokumentasi,,,,,0,,0
930,3310 107 2023 010 05 1,3310,10/5/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Pedan Desa Kaligawe,KLATEN,JAWA TENGAH,Dokumentasi,Masih dalam penyelidikan,,,,0,,0
931,1504 107 2023 010 05 1,1504,10/5/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Maro Sebo Ilir Desa Danau Empat,BATANGHARI,JAMBI,Dokumentasi,,,,,0,,0
932,7504 106 2023 010 05 1,7504,10/5/2023,KEKERINGAN,Kec. Lemito,POHUWATO,GORONTALO,Dokumentasi,Pada hari Kamis tanggal 05 Oktober 2023 telah terjadi bencana alam Kekeringan di Kecamatan Popayato diakibatkan oleh fenomena Elnino yang menyebabkan kekeringan yang berdampak kepada masyarakat mengalami kekurangan air bersih  di Wilayah Kabupaten Pohuwato,,,,0,,0
933,3403 107 2023 010 05 1,3403,10/5/2023,KEBAKARAN HUTAN DAN LAHAN,KEC Wonosari KEL Mulo,GUNUNGKIDUL,DAERAH ISTIMEWA YOGYAKARTA,Dokumentasi,,,,,0,,0
934,1409 107 2023 010 05 1,1409,10/5/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Singingi Hilir Ds. Sungai Paku,KUANTAN SINGINGI,RIAU,Dokumentasi,,,,,0,,0
935,6210 107 2023 010 05 1,6210,10/5/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Null Kel. Tumbang Anjir,GUNUNG MAS,KALIMANTAN TENGAH,Dokumentasi,●pembebasan lahan oleh masyarakat,,,,0,,0
936,3302 107 2023 010 05 1,3302,10/5/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Lumbir Desa Parungkamal,BANYUMAS,JAWA TENGAH,Dokumentasi,Masih dalam penyelidikan,,,,0,,0
937,1275 101 2023 010 05 1,1275,10/5/2023,BANJIR,,KOTA BINJAI,SUMATERA UTARA,Dokumentasi,,,,,0,153,0
938,1404 107 2023 010 05 1,1404,10/5/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Enok Ds. Sungai Rukam Kec. Tempuling Ds. Tempuling,INDRAGIRI HILIR,RIAU,Dokumentasi,,,,,0,,0
939,3210 107 2023 010 04 1,3210,10/4/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Sukahaji Ds. Salagedang  Kec. Panyingkiran  Ds. Bonang Kec. sindang Ds. IndrakilaKec. Sukahaji Ds. Salagedang  Kec. Panyingkiran  Ds. Bonang Kec. sindang Ds. Indrakila,MAJALENGKA,JAWA BARAT,Dokumentasi,●human error,,,,0,,0
940,1504 107 2023 010 04 1,1504,10/4/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Muara Bulian Desa Senami,BATANGHARI,JAMBI,Dokumentasi,,,,,0,,0
941,1401 107 2023 010 04 1,1401,10/4/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Tambang Ds. Rimbo Panjang,KAMPAR,RIAU,Dokumentasi,,,,,0,,0
942,3302 107 2023 010 04 1,3302,10/4/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Kebasen Desa Kalisalak,BANYUMAS,JAWA TENGAH,Dokumentasi,Diduga dari puntung rokok yang dibuang dari pengguna jalan.,,,,0,,0
943,3312 107 2023 010 04 1,3312,10/4/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Wonokarto  Desa Wonokarto Selatan,WONOGIRI,JAWA TENGAH,Dokumentasi,Masih dalam pengumpulan informasi,,,,0,,0
944,6104 107 2023 010 04 1,6104,10/4/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Matan Hilir Ds. Sungai Pelang Kec. Muara Pawan  Ds. Tempurukan Kec. Matan Hilir Selatan Ds. Sungai Pelang  Ds. Sungai Besar,KETAPANG,KALIMANTAN BARAT,Dokumentasi,●dalam penyelidikan,,,,0,,0
945,1902 107 2023 010 04 1,1902,10/4/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Tanjung Pandan  Ds. Juru Sebrang,BELITUNG,KEPULAUAN BANGKA BELITUNG,Dokumentasi,●belum diketahui,,,,0,,0
946,7504 106 2023 010 04 1,7504,10/4/2023,KEKERINGAN,Kec. Popayato,POHUWATO,GORONTALO,Dokumentasi,Pada hari Rabu tanggal 04 Oktober 2023 telah terjadi bencana alam Kekeringan di Kecamatan Popayato diakibatkan oleh fenomena Elnino yang menyebabkan kekeringan yang berdampak kepada masyarakat mengalami kekurangan air bersih  di Wilayah Kabupaten Pohuwato,,,,0,,0
947,3208 107 2023 010 04 1,3208,10/4/2023,KEBAKARAN HUTAN DAN LAHAN,Kecamatan Ciwaru Desa/KelCiwaru,KUNINGAN,JAWA BARAT,Dokumentasi,Belum Diketahui,,,,0,,0
948,3314 107 2023 010 04 1,3314,10/4/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Kedawung Desa Kedawung,SRAGEN,JAWA TENGAH,Dokumentasi,Masih dalam pengumpulan informasi,,,,0,,0
949,6207 107 2023 010 04 1,6207,10/4/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Seruyan Hilir Kec. Danau Sembuluh  Ds. Telaga Pulang Kec. Seruyan Raya Ds. Bangkal,SERUYAN,KALIMANTAN TENGAH,Dokumentasi,●belum diketahui,,,,0,,0
950,3302 106 2023 010 04 1,3302,10/4/2023,KEKERINGAN,Kec. Kemranjen Ds. Kedungpring Kec. Sumpiuh Ds. Selandaka,BANYUMAS,JAWA TENGAH,Dokumentasi,,,,,0,,0
951,7501 106 2023 010 04 1,7501,10/4/2023,KEKERINGAN,KEC. LIMBOTO KEC. TELAGA BIRU,GORONTALO,GORONTALO,Dokumentasi,"Pada hari Rabu tanggal 04 Oktober 2023 telah terjadi bencana alam Kekeringan di 2 (dua) Kecamatan yaitu Kecamatan Limboto (Lingkungan III Kelurahan Hutuo) dan Kecamatan Telaga Biru (Dusun III Uwabu Desa Pentadio Timur), diakibatkan oleh fenomena Elnino yang menyebabkan kekeringan di Wilayah Kabupaten",,,,0,,0
952,3205 105 2023 010 04 1,3205,10/4/2023,CUACA EKSTREM,KEC Peundeuy,GARUT,JAWA BARAT,Dokumentasi,,4,,2,1,,0
953,1502 107 2023 010 04 1,1502,10/4/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Muara Siau Desa Raman,MERANGIN,JAMBI,Dokumentasi,,,,,0,,0
954,7212 107 2023 010 04 1,7212,10/4/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Mori Atas Ds. Kolaka,MOROWALI UTARA,SULAWESI TENGAH,Dokumentasi,"●Sesuai rilis BMKG Potensi Musim Kemarau yang berkepanjangan dengan peringatan fenomena El-Nino di beberapa wilayah termasuk Sulawesi Tengah mengakibatkan terjadinya kebakaran lahan sejak pukul 18:00 WITA di Dusun Pandiri, Desa Kolaka, Kec. Mori Atas, Kab. Morowali Utara",,,,0,,0
955,7316 107 2023 010 04 1,7316,10/4/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Enrekang  Kel. Lewaja,ENREKANG,SULAWESI SELATAN,Dokumentasi,●belum diketahui,,,,0,,0
956,3302 106 2023 010 04 1,3302,10/4/2023,KEKERINGAN,Kec. Rawalo Ds. Tipar,BANYUMAS,JAWA TENGAH,Dokumentasi,●sulitnya mendapatkan air bersih,,,,0,,0
957,3201 107 2023 010 04 1,3201,10/4/2023,KEBAKARAN HUTAN DAN LAHAN,Kecamatan Rumpin Desa/KelCipinang,BOGOR,JAWA BARAT,Dokumentasi,Belum Diketahui,,,,0,,0
958,1504 107 2023 010 03 1,1504,10/3/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Bajubang Area Konsesi PTREKI,BATANGHARI,JAMBI,Dokumentasi,,,,,0,,0
959,3403 107 2023 010 03 1,3403,10/3/2023,KEBAKARAN HUTAN DAN LAHAN,KEC Jatiayu KEL Candi 7,GUNUNGKIDUL,DAERAH ISTIMEWA YOGYAKARTA,Dokumentasi,,,,,0,,0
960,6303 107 2023 010 03 1,6303,10/3/2023,KEBAKARAN HUTAN DAN LAHAN,"Karang Intan Gambut Baruntung Beruntung Desa Indrasari Kec. Martapura Kota Kab.Banjar Desa Sungai Rangas Ulu, Kec. Martapura Barat Kab.Banjar",BANJAR,KALIMANTAN SELATAN,Dokumentasi,,,,,0,,0
961,1408 107 2023 010 03 1,1408,10/3/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Siak Kp. Rawang Air Putih,SIAK,RIAU,Dokumentasi,,,,,0,,0
962,1101 101 2023 010 03 1,1101,10/3/2023,BANJIR,Kec. Kota Bahagia  Gp. Beutong,ACEH SELATAN,ACEH,Dokumentasi,●Dipicu oleh intensitas curah hujan yang cukup tinggi,,,,0,29,0
963,8171 102 2023 010 03 1,8171,10/3/2023,TANAH LONGSOR,Kec. sirimau Kel. Mangga Dua Kel. Batu Meja Kel. Hative Kacil,KOTA AMBON,MALUKU,Dokumentasi,●Dipicu oleh hujan dengan intensitas tinggi,,,,2,,0
964,6307 107 2023 010 03 1,6307,10/3/2023,KEBAKARAN HUTAN DAN LAHAN,"Desa Banua Jinggah Kec. Barabai, Kab. HST Desa Kapar,Kec Batang Alai Selatan,Kab.HST Desa Barabai Darat (Muallimin) Kecamatan Barabai Kabupaten Hulu Sungai Tengah Desa Pandanu,Kec Haruyan,Kab Hulu Sungai Tengah Desa Rasau Kec. Pandawan Kab. HST Kebakaran Lahan Desa Pajukungan Kec. Barabai Kab. Hulu sungai Tengah. Desa Masiran Kec. Pandawan Kab. HST Desa Rasau Kec. Pandawan, Kab.HST Desa Sungai Rangas Kec. Labuan Amas Selatan Kab. HST. Labuan AMas Selatan Desa Bangkal",HULU SUNGAI TENGAH,KALIMANTAN SELATAN,Dokumentasi,,,,,0,,0
965,3204 107 2023 010 03 1,3204,10/3/2023,KEBAKARAN HUTAN DAN LAHAN,Kecamatan Soreang Desa/KelKaramatmulya,BANDUNG,JAWA BARAT,Dokumentasi,Belum Diketahui,,,,0,,0
966,3211 107 2023 010 03 1,3211,10/3/2023,KEBAKARAN HUTAN DAN LAHAN,Kecamatan Sumedang Selatan Desa/KelSukagalih,SUMEDANG,JAWA BARAT,Dokumentasi,Belum Diketahui,,,,0,,0
967,5107 107 2023 010 03 1,5107,10/3/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Abang Ds. Labasari,KARANGASEM,BALI,Dokumentasi,●Dalam proses penyelidikan,,,,0,,0
968,1403 107 2023 010 03 1,1403,10/3/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Bathin Solapan Ds. Buluh Manis,BENGKALIS,RIAU,Dokumentasi,,,,,0,,0
969,1508 107 2023 010 03 1,1508,10/3/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Bathin III  Desa Gemuruh Kec. Bathin II Babeko Desa Tanjung Menanti Kec. Rimbo Tengah Desa Sungai Buluh Kec. Bathin III Desa Manggis Kec. Rimbo Tengah Desa Sei Mangkuang,BUNGO,JAMBI,Dokumentasi,,,,,0,,0
970,5301 106 2023 010 02 1,5301,10/2/2023,KEKERINGAN,"Kec. Sulamu, Taebenu, Nekamese, Amarasi, Semau, Semau Selatan, Kupang Tengah, Amarasi Timur, Fatuleu, Kupang Timur,  Amfoang Selatan, Amarasi Selatan, Amabi Oefeto Timur, Takari",KUPANG,NUSA TENGGARA TIMUR,Dokumentasi,"Dampak kemarau panjang, sehingga menyebabkan kerisis air bersih untuk kebutuhan sehari-hari",,,,0,,0
971,1502 107 2023 010 02 1,1502,10/2/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Pamenang Desa Tanjung Lamin,MERANGIN,JAMBI,Dokumentasi,,,,,0,,0
972,1217 107 2023 010 02 1,1217,10/2/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Sianjur Mulamula Ds. Bonandolok,SAMOSIR,SUMATERA UTARA,Dokumentasi,●Dalam proses penyelidikan,,,,0,,0
973,3213 107 2023 010 02 1,3213,10/2/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Kasomalang Ds. Cimanglid,SUBANG,JAWA BARAT,Dokumentasi,●dalam penyelidikan,,,,0,,0
974,1471 107 2023 010 02 1,1471,10/2/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Bina WidyaDs.Simpang Baru Kec. RumbaiDs. Meranti Pandak Kec. Tenayan RayaDs. Mentangor Kec. Payung SekakiDs. Air Hitam Kec. Bina WidyaDs. Simpang Baru,KOTA PEKANBARU,RIAU,Dokumentasi,,,,,0,,0
975,3319 107 2023 010 02 1,3319,10/2/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Kaliwungu Desa Papringan,KUDUS,JAWA TENGAH,Dokumentasi,Pembakaran sampah yang merambat lahan sekitarnya,,,,0,,0
976,6303 107 2023 010 02 1,6303,10/2/2023,KEBAKARAN HUTAN DAN LAHAN,Jl. Gubernur Soebardjo Kec. Gambut Desa Penggalaman dalam rt 03 handil 2 Kec. Martapura Barat Desa Cindai Alus RT 08 Kec. Martapura Kota Gambut Aranio Aranio Gambut Bundaran Km. 17 Kec. Gambut Jl. Karang Anyar Kec. Gambut,BANJAR,KALIMANTAN SELATAN,Dokumentasi,,,,,0,,0
977,3209 107 2023 010 02 1,3209,10/2/2023,KEBAKARAN HUTAN DAN LAHAN,Kecamatan Talun Desa/KelSampiran,CIREBON,JAWA BARAT,Dokumentasi,Belum Diketahui,,,,0,,0
978,3301 107 2023 010 02 1,3301,10/2/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Cimanggu Desa Bantarpanjang,CILACAP,JAWA TENGAH,Dokumentasi,Api berasal dari warga yang membersihkan kebun tidak terkendali dan meluas membakar lahan sekitarnya.,,,,0,,0
979,1504 107 2023 010 02 1,1504,10/2/2023,KEBAKARAN HUTAN DAN LAHAN,,BATANGHARI,JAMBI,Dokumentasi,,,,,0,,0
980,1109 101 2023 010 02 1,1109,10/2/2023,BANJIR,Kec. Simeulue Timur Ds. Suka Karya Ds. Air Dingin Ds. Kuala Makmur Ds. Sefoyan Ds. Linggi Ds. Suka Jaya Ds. Air Pinang Ds. Ganting Ds. Suka Damai Ds. Suak Buluh Ds. Sinabang Ds. Amaiteng Mulia Ds. Suka Maju Kec. Teluk Dalam Ds. Luan Balu,SIMEULUE,ACEH,Dokumentasi,●Dipicu oleh intensitas curah hujan yang cukup tinggi,,,,0,261,0
981,1813 107 2023 010 02 1,1813,10/2/2023,KEBAKARAN HUTAN DAN LAHAN,Pasar Krui Kecamatan Pesisir Tengah,PESISIR BARAT,LAMPUNG,Dokumentasi,,,,,0,,0
982,3210 107 2023 010 02 1,3210,10/2/2023,KEBAKARAN HUTAN DAN LAHAN,Kecamatan Kertajati Desa/KelKertajati,MAJALENGKA,JAWA BARAT,Dokumentasi,Belum Diketahui,,,,0,,0
983,3202 108 2023 010 01 1,3202,10/1/2023,GEMPABUMI,30 km Tenggara KAB-SUKABUMI-JABAR 52 km BaratDaya KOTA-SUKABUMI-JABAR 53 km Tenggara BAYAH-BANTEN 119 km BaratDaya BANDUNG-JABAR 123 km BaratDaya JAKARTA-Indonesia,SUKABUMI,JAWA BARAT,Dokumentasi,Kekuatan     : 5.4 SR Tanggal      : 01-Oct-2023 Waktu Gempa  : 11:00:26 WIB Lintang      : 7.26 LS Bujur        : 106.60 BT Kedalaman    : 88 Km,,,,7,,0
984,6306 107 2023 010 01 1,6306,10/1/2023,KEBAKARAN HUTAN DAN LAHAN,"Desa Sungai Paring RT 02,Kec Kandangan Kab. HSS Desa Durian Rabung, Jalatang, Batu Bini Kecamatan Kecamatan Padang Batung Kab. HSS Desa Batang Kulur Tengah, Kec. Sungai Raya Kab. HSS Desa Balanti RT 04 Kecamatan Kalumpang Kab. HSS Desa Kalumpang Kecamatan Kalumpang Kabupaten Hulu Sungai Selatan Desa Tambingkar Kecamatan Kalumpang Desa Simpur Kec.Simpur Kab. Hss Desa Padang Batung Kecamatan Padang Batung , Kab.HSS Samuda Kec. Daha Selatan Kab. HSS",HULU SUNGAI SELATAN,KALIMANTAN SELATAN,Dokumentasi,,,,,0,,0
985,3403 107 2023 010 01 1,3403,10/1/2023,KEBAKARAN HUTAN DAN LAHAN,KEC Sambirejo KEL Grogol,GUNUNGKIDUL,DAERAH ISTIMEWA YOGYAKARTA,Dokumentasi,,,,,0,,0
986,3207 107 2023 010 01 1,3207,10/1/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Pamarican Ds. Kertahayu,CIAMIS,JAWA BARAT,Dokumentasi,●Dalam proses penyelidikan,,,,0,,0
987,1813 107 2023 010 01 1,1813,10/1/2023,KEBAKARAN HUTAN DAN LAHAN,Pekon Rawas Kecamatan Pesisir Tengah,PESISIR BARAT,LAMPUNG,Dokumentasi,,,,,0,,0
988,3215 106 2023 010 01 1,3215,10/1/2023,KEKERINGAN,Kec. Pangkalan Ds. Jatilaksana Ds. Kertasari Ds. Mulangsari Ds. Tamanmekar Ds. Medalsari Ds. Cintaasih Ds. Ciptasari Kec. Klari Ds. Curug Kec. Tegalwaru Ds. Cintalanggeng Ds. Kutamaneuh Ds. Cintalaksana Ds. Kutalanggeng Ds. Cigunungsari Ds. Cintawargi Kec. Telukjambe Barat Ds. Wanakerta Kec. Ciampel Ds. Parungmulya,KARAWANG,JAWA BARAT,Dokumentasi,"●Dipicu tidak adanya air hujan yang turun, masuknya musim kemarau sehingga terjadi kekeringan / krisis air bersih sejak hari Minggu, 01 Oktober 2023, Pkl. 10:00 WIB",,,,0,,0
989,1307 105 2023 010 01 1,1307,10/1/2023,CUACA EKSTREM,Kec. Pangkalan Koto Baru Ds.  Gunung Malintang,LIMA PULUH KOTA,SUMATERA BARAT,Dokumentasi,●Dipicu oleh intensitas curah hujan yang cukup tinggi disertai angin kencang,,,,32,,0
990,6309 107 2023 010 01 1,6309,10/1/2023,KEBAKARAN HUTAN DAN LAHAN,"Desa Gumuk RT 3, Kelurahan Jangkung, Kecamatan Tanjung, Kabupaten Tabalong Desa Gumuk, Kelurahan Jangkung, Kecamatan Tanjung, Kabupaten Tabalong, Desa Karangan Putih, Kecamatan Kelua, Kabupaten Tabalong, Desa Gumuk, Kelurahan Jangkung, Kecamatan Tanjung, Kabupaten Tabalong Jl. Kadaman, Desa kapar, Kecamatan Murung Pudak, Kabupaten Tabalong,",TABALONG,KALIMANTAN SELATAN,Dokumentasi,,,,,0,,0
